products,count,types,EOS,Rank
PA-5220,15,Security Appliance Firewall- HW Model,No,1
PA-3220,11,Security Appliance Firewall- HW Model,No,2
PA-220,7,Security Appliance Firewall- HW Model,No,3
PA-3260,5,Security Appliance Firewall- HW Model,No,4
PA-3250,4,Security Appliance Firewall- HW Model,No,5
PA-850,3,Security Appliance Firewall- HW Model,No,6
PA-5260,2,Security Appliance Firewall- HW Model,No,7
PA-820,1,Security Appliance Firewall- HW Model,No,8
